World rank,University,National rank,Total score,Alumni,Award,Hi Ci,N&S,PUB,PCP,Year,World rank integer,Country,ISO2 CODE,ISO3 CODE
3,Massachusetts Institute of Technology (MIT),3,70.5,68.4,80.7,60.6,73.6,61.5,67.1,2014,3,United States,US,USA
3,Massachusetts Institute of Technology (MIT),3,72,72.8,81.9,67.9,70.6,60.6,63.7,2011,3,United States,US,USA
3,Massachusetts Institute of Technology (MIT),3,70.4,68.2,80.7,60.6,73.1,61.1,68,2015,3,United States,US,USA
3,Massachusetts Institute of Technology (MIT),3,71.8,69,83.2,68.2,69.2,61.6,64.1,2012,3,United States,US,USA
3,Stanford University,2,73.4,41.1,72.2,88.5,70.9,72.3,65,2005,3,United States,US,USA
3,Stanford University,3,72.1,40.2,78.4,87.6,68.4,69.7,50.1,2010,3,United States,US,USA
3,Stanford University,2,72.5,39.7,70.7,88.4,70,71.4,65.3,2006,3,United States,US,USA
4,Massachusetts Institute of Technology (MIT),3,69.9,70.9,83.6,52.5,71.4,64.4,70.3,2018,4,United States,US,USA
4,Massachusetts Institute of Technology (MIT),4,71.4,70.5,80.3,66.8,70.1,61.4,64.5,2010,4,United States,US,USA
4,Massachusetts Institute of Technology (MIT),3,70.4,68.7,82.3,56.7,72.4,63.5,70.8,2017,4,United States,US,USA
4,Massachusetts Institute of Technology (MIT),4,71.1,68,81.3,68.2,69.7,60.1,65,2013,4,United States,US,USA
4,Massachusetts Institute of Technology (MIT),3,69.9,70.9,83.6,52.5,71.4,64.4,70.3,2018,4,United States,US,USA
5,Massachusetts Institute of Technology (MIT),4,69.2,69.4,80.7,55.3,71.7,61.7,69.7,2016,5,United States,US,USA
5,Massachusetts Institute of Technology (MIT),4,69.5,71,80.6,65.7,67.9,62,54.4,2009,5,United States,US,USA
5,Massachusetts Institute of Technology (MIT),4,70.1,74,80.6,66.7,65.8,64.3,53,2005,5,United States,US,USA
5,Massachusetts Institute of Technology (MIT),4,70,74.6,80.6,65.9,68.4,61.7,53.4,2007,5,United States,US,USA
5,Massachusetts Institute of Technology (MIT),4,69.6,71,80.6,65.6,68.7,61.6,53.9,2008,5,United States,US,USA
6,Princeton University,5,61,55.8,97.9,44.9,47.1,44.2,73.3,2018,6,United States,US,USA
6,Princeton University,5,61.1,54.4,97.9,47.6,46.6,43.3,73.5,2017,6,United States,US,USA
6,Princeton University,5,61,55.8,97.9,44.9,47.1,44.2,73.3,2018,6,United States,US,USA
6,Princeton University,5,62,53.3,98,51.3,47.2,42.9,74.4,2016,6,United States,US,USA
6,Princeton University,5,61,53.3,93.4,57.1,43,42.4,70.3,2015,6,United States,US,USA
7,Columbia University,6,62.3,79.4,60.6,56.1,54.2,69.5,45.4,2005,7,United States,US,USA
7,Columbia University,6,61.7,70.6,67.7,55.7,49.1,69.6,46.5,2009,7,United States,US,USA
7,Columbia University,6,61.8,78.2,59.4,56,53.6,69.8,45.8,2006,7,United States,US,USA
7,Columbia University,6,63.2,76,65.7,56.5,54.3,69.6,46.4,2007,7,United States,US,USA
7,Columbia University,6,62.5,72.4,65.7,56.5,52.3,70.5,46.6,2008,7,United States,US,USA
7,Princeton University,6,60.8,56.4,84.8,61.1,43.3,44.3,65.5,2010,7,United States,US,USA
7,Princeton University,6,61.2,56.7,87.1,62.1,43.8,43.4,64.2,2011,7,United States,US,USA
7,Princeton University,6,62.1,52.3,91.3,62.2,44.4,44.5,66.3,2012,7,United States,US,USA
7,Princeton University,6,61.9,52.9,89.2,62.2,45.8,44,66.9,2013,7,United States,US,USA
8,Columbia University,6,58.2,62.8,67.2,41.8,56.4,71.5,33.7,2018,8,United States,US,USA
8,Columbia University,7,60.4,70.7,67.4,56.2,47.6,69.9,32.1,2010,8,United States,US,USA
8,Columbia University,7,59.6,65.1,65.9,51.6,55,69.1,33.1,2014,8,United States,US,USA
8,Columbia University,7,60.1,64.2,68,57.4,51.2,67.8,31,2012,8,United States,US,USA
8,Columbia University,6,58.8,62.8,65.1,50,53.8,70.3,34.3,2017,8,United States,US,USA
8,Columbia University,6,58.2,62.8,67.2,41.8,56.4,71.5,33.7,2018,8,United States,US,USA
8,Columbia University,7,58.8,63.5,65.9,52.1,51.9,68.8,33.2,2015,8,United States,US,USA
8,Columbia University,7,59.8,66.1,66.4,57.4,49.8,68,31.9,2013,8,United States,US,USA
8,Columbia University,7,60.4,69.6,67.4,57.1,50.8,67.5,31,2011,8,United States,US,USA
8,Princeton University,7,60.2,57.8,85.2,61.6,41.5,45.7,61.4,2009,8,United States,US,USA
8,Princeton University,7,59.5,62.3,80.4,59.3,42.9,46.5,58.9,2007,8,United States,US,USA
8,Princeton University,7,58.6,61.1,75.3,59.6,43.5,47.3,58,2006,8,United States,US,USA
8,Princeton University,7,60.9,63.4,76.8,60.9,48.7,48.5,59.1,2005,8,United States,US,USA
8,Princeton University,7,58.9,59.3,80.4,61.9,40.5,44.8,59.3,2008,8,United States,US,USA
9,Columbia University,7,56.7,63.5,65.9,41,53.3,68.9,33.3,2016,9,United States,US,USA
